approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,10,4,OVL-C1005,inherited,9,6,OVL-C0907,53,0.815385,0.963636,0.841270,6;5;4;1;8;7,OVL-C0907;OVL-C0906;OVL-C0905;OVL-C0902;OVL-C0909;OVL-C0908
overlap,10,5,OVL-C1006,new,,,,,,,,0;5;3;1,OVL-C0901;OVL-C0906;OVL-C0904;OVL-C0902
overlap,10,6,OVL-C1007,new,,,,,,,,0;3;4;6;1,OVL-C0901;OVL-C0904;OVL-C0905;OVL-C0907;OVL-C0902
overlap,10,7,OVL-C1008,new,,,,,,,,4;9;2;1,OVL-C0905;OVL-C0910;OVL-C0903;OVL-C0902
overlap,10,8,OVL-C1009,inherited,9,8,OVL-C0909,33,0.750000,0.804878,0.916667,8;1;0,OVL-C0909;OVL-C0902;OVL-C0901
overlap,10,9,OVL-C1010,inherited,9,7,OVL-C0908,26,0.520000,0.619048,0.764706,7;2,OVL-C0908;OVL-C0903
overlap,10,10,OVL-C1011,new,,,,,,,,9;3;5;4;2;0,OVL-C0910;OVL-C0904;OVL-C0906;OVL-C0905;OVL-C0903;OVL-C0901
overlap,10,11,OVL-C1012,inherited,9,10,OVL-C0911,26,0.838710,0.928571,0.896552,10;1,OVL-C0911;OVL-C0902
overlap,10,12,OVL-C1013,new,,,,,,,,4;9;8;3;0,OVL-C0905;OVL-C0910;OVL-C0909;OVL-C0904;OVL-C0901
overlap,10,13,OVL-C1014,inherited,9,11,OVL-C0912,18,0.642857,0.857143,0.720000,11;7;3;1;0,OVL-C0912;OVL-C0908;OVL-C0904;OVL-C0902;OVL-C0901
overlap,10,14,OVL-C1015,inherited,9,12,OVL-C0913,18,0.900000,0.947368,0.947368,12;1,OVL-C0913;OVL-C0902
overlap,10,15,OVL-C1016,new,,,,,,,,7,OVL-C0908
overlap,11,0,OVL-C1101,new,,,,,,,,6;5;3;1;0;7;4,OVL-C1007;OVL-C1006;OVL-C1004;OVL-C1002;OVL-C1001;OVL-C1008;OVL-C1005
overlap,11,1,OVL-C1102,inherited,10,0,OVL-C1001,41,0.297101,0.493976,0.427083,0;14;10;3;12;7;2;13,OVL-C1001;OVL-C1015;OVL-C1011;OVL-C1004;OVL-C1013;OVL-C1008;OVL-C1003;OVL-C1014
overlap,11,2,OVL-C1103,inherited,10,2,OVL-C1003,68,0.790698,0.906667,0.860759,2;9;11;4;5;1;0,OVL-C1003;OVL-C1010;OVL-C1012;OVL-C1005;OVL-C1006;OVL-C1002;OVL-C1001
overlap,11,3,OVL-C1104,inherited,10,1,OVL-C1002,49,0.462264,0.628205,0.636364,1;10;4;0;6;12;13;9;5,OVL-C1002;OVL-C1011;OVL-C1005;OVL-C1001;OVL-C1007;OVL-C1013;OVL-C1014;OVL-C1010;OVL-C1006
overlap,11,4,OVL-C1105,inherited,10,9,OVL-C1010,27,0.442623,0.794118,0.500000,9;4;13;10;8;5,OVL-C1010;OVL-C1005;OVL-C1014;OVL-C1011;OVL-C1009;OVL-C1006
overlap,11,5,OVL-C1106,inherited,10,7,OVL-C1008,38,0.666667,0.883721,0.730769,7;8;6;13;12;4;0,OVL-C1008;OVL-C1009;OVL-C1007;OVL-C1014;OVL-C1013;OVL-C1005;OVL-C1001
overlap,11,6,OVL-C1107,new,,,,,,,,5;0;10;1;6,OVL-C1006;OVL-C1001;OVL-C1011;OVL-C1002;OVL-C1007
overlap,11,7,OVL-C1108,inherited,10,3,OVL-C1004,33,0.434211,0.515625,0.733333,3;0;4,OVL-C1004;OVL-C1001;OVL-C1005
overlap,11,8,OVL-C1109,inherited,10,8,OVL-C1009,32,0.711111,0.888889,0.780488,8;1;0;9;5;4,OVL-C1009;OVL-C1002;OVL-C1001;OVL-C1010;OVL-C1006;OVL-C1005
overlap,11,9,OVL-C1110,inherited,10,4,OVL-C1005,29,0.446154,0.460317,0.935484,4;1,OVL-C1005;OVL-C1002
